"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"11362","Press any key to begin.","77","html-keyboard-response","0","11382","0.0-0.0","","","","",""
"52381","","","survey-text","1","63766","0.0-1.0","{""Q0"":""\""Set1128225\"""",""Q1"":""""}","","","",""
"11358","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","78","html-keyboard-response","2","75127","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","77631","0.0-3.0-0.0","","fixation","","",""
"3346","Set1/063a.jpg","78","image-keyboard-response","4","80981","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","81483","0.0-3.0-0.1","","fixation","","",""
"1330","Set1/064a.jpg","78","image-keyboard-response","6","82815","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","83317","0.0-3.0-0.2","","fixation","","",""
"1028","Set1/047a.jpg","78","image-keyboard-response","8","84346","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","84848","0.0-3.0-0.3","","fixation","","",""
"755","Set1/025a.jpg","78","image-keyboard-response","10","85603","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","86105","0.0-3.0-0.4","","fixation","","",""
"759","Set1/146a.jpg","78","image-keyboard-response","12","86866","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","87366","0.0-3.0-0.5","","fixation","","",""
"1744","Set1/020a.jpg","78","image-keyboard-response","14","89111","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","89612","0.0-3.0-0.6","","fixation","","",""
"895","Set1/120a.jpg","78","image-keyboard-response","16","90509","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","91010","0.0-3.0-0.7","","fixation","","",""
"762","Set1/148a.jpg","78","image-keyboard-response","18","91774","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","92275","0.0-3.0-0.8","","fixation","","",""
"867","Set1/028a.jpg","78","image-keyboard-response","20","93144","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","93644","0.0-3.0-0.9","","fixation","","",""
"1030","Set1/071a.jpg","78","image-keyboard-response","22","94675","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","95175","0.0-3.0-0.10","","fixation","","",""
"1088","Set1/030a.jpg","78","image-keyboard-response","24","96264","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","96765","0.0-3.0-0.11","","fixation","","",""
"957","Set1/037a.jpg","78","image-keyboard-response","26","97724","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","98224","0.0-3.0-0.12","","fixation","","",""
"1599","Set1/120a.jpg","79","image-keyboard-response","28","99824","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","100325","0.0-3.0-0.13","","fixation","","",""
"814","Set1/005a.jpg","78","image-keyboard-response","30","101140","0.0-3.0-1.13","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","101641","0.0-3.0-0.14","","fixation","","",""
"814","Set1/079a.jpg","78","image-keyboard-response","32","102456","0.0-3.0-1.14","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","102957","0.0-3.0-0.15","","fixation","","",""
"968","Set1/136a.jpg","78","image-keyboard-response","34","103927","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","104428","0.0-3.0-0.16","","fixation","","",""
"749","Set1/133a.jpg","78","image-keyboard-response","36","105178","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","105679","0.0-3.0-0.17","","fixation","","",""
"628","Set1/128a.jpg","78","image-keyboard-response","38","106308","0.0-3.0-1.17","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","106809","0.0-3.0-0.18","","fixation","","",""
"704","Set1/054a.jpg","78","image-keyboard-response","40","107514","0.0-3.0-1.18","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","108015","0.0-3.0-0.19","","fixation","","",""
"795","Set1/108a.jpg","78","image-keyboard-response","42","108812","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","109312","0.0-3.0-0.20","","fixation","","",""
"915","Set1/050a.jpg","78","image-keyboard-response","44","110228","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","110729","0.0-3.0-0.21","","fixation","","",""
"1375","Set1/140a.jpg","78","image-keyboard-response","46","112106","0.0-3.0-1.21","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","112608","0.0-3.0-0.22","","fixation","","",""
"652","Set1/051a.jpg","78","image-keyboard-response","48","113261","0.0-3.0-1.22","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","113763","0.0-3.0-0.23","","fixation","","",""
"1667","Set1/063a.jpg","79","image-keyboard-response","50","115431","0.0-3.0-1.23","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","115933","0.0-3.0-0.24","","fixation","","",""
"1283","Set1/006a.jpg","78","image-keyboard-response","52","117217","0.0-3.0-1.24","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","117718","0.0-3.0-0.25","","fixation","","",""
"747","Set1/158a.jpg","78","image-keyboard-response","54","118468","0.0-3.0-1.25","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","118969","0.0-3.0-0.26","","fixation","","",""
"1424","Set1/020a.jpg","79","image-keyboard-response","56","120395","0.0-3.0-1.26","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","120897","0.0-3.0-0.27","","fixation","","",""
"1466","Set1/082a.jpg","78","image-keyboard-response","58","122364","0.0-3.0-1.27","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","122866","0.0-3.0-0.28","","fixation","","",""
"1196","Set1/107a.jpg","78","image-keyboard-response","60","124063","0.0-3.0-1.28","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","124564","0.0-3.0-0.29","","fixation","","",""
"1450","Set1/121a.jpg","78","image-keyboard-response","62","126015","0.0-3.0-1.29","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","126516","0.0-3.0-0.30","","fixation","","",""
"816","Set1/085a.jpg","78","image-keyboard-response","64","127333","0.0-3.0-1.30","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","127835","0.0-3.0-0.31","","fixation","","",""
"1458","Set1/136a.jpg","79","image-keyboard-response","66","129295","0.0-3.0-1.31","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","129795","0.0-3.0-0.32","","fixation","","",""
"1037","Set1/049a.jpg","78","image-keyboard-response","68","130833","0.0-3.0-1.32","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","131340","0.0-3.0-0.33","","fixation","","",""
"1030","Set1/133a.jpg","79","image-keyboard-response","70","132371","0.0-3.0-1.33","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","132872","0.0-3.0-0.34","","fixation","","",""
"1398","Set1/093a.jpg","78","image-keyboard-response","72","134272","0.0-3.0-1.34","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","134775","0.0-3.0-0.35","","fixation","","",""
"946","Set1/064a.jpg","79","image-keyboard-response","74","135723","0.0-3.0-1.35","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","136223","0.0-3.0-0.36","","fixation","","",""
"1241","Set1/005a.jpg","79","image-keyboard-response","76","137465","0.0-3.0-1.36","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","137965","0.0-3.0-0.37","","fixation","","",""
"1094","Set1/128a.jpg","79","image-keyboard-response","78","139060","0.0-3.0-1.37","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","139562","0.0-3.0-0.38","","fixation","","",""
"1274","Set1/044a.jpg","78","image-keyboard-response","80","140837","0.0-3.0-1.38","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","141339","0.0-3.0-0.39","","fixation","","",""
"1196","Set1/037a.jpg","79","image-keyboard-response","82","142535","0.0-3.0-1.39","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","143037","0.0-3.0-0.40","","fixation","","",""
"1630","Set1/088a.jpg","78","image-keyboard-response","84","144669","0.0-3.0-1.40","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","145171","0.0-3.0-0.41","","fixation","","",""
