"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"1968","Press any key to begin.","77","html-keyboard-response","0","1988","0.0-0.0","","","","",""
"5250","","","survey-text","1","7243","0.0-1.0","{""Q0"":""\""Test128225\"""",""Q1"":""""}","","","",""
"23479","<p>For this phase you will see two similar images side by side on the screen I want you to tell us which of the items you have seen before in any of the previous sets of images. </p><p>If you have only seen the image on the left you will press the 'L' key on your keyboard.</p>If you have only seen the image on the right you will press the 'R' key on your keyboard.</p>If you have previously seen both of the images you will press the 'B' key on your keyboard.</p>If you have not seen either image you will press the 'N' key on your keyboard.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","77","html-keyboard-response","2","30724","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","33227","0.0-3.0-0.0","","fixation","","",""
"3476","b_a montage/ba_038.jpg","76","image-keyboard-response","4","36707","0.0-3.0-1.0","","","Repeat","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","37208","0.0-3.0-0.1","","fixation","","",""
"2408","a_b new/ab_008.jpg","78","image-keyboard-response","6","39617","0.0-3.0-1.1","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","40118","0.0-3.0-0.2","","fixation","","",""
"3055","a_b montage/ab_109.jpg","76","image-keyboard-response","8","43174","0.0-3.0-1.2","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","43675","0.0-3.0-0.3","","fixation","","",""
"1588","a_b montage/ab_088.jpg","76","image-keyboard-response","10","45265","0.0-3.0-1.3","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","45766","0.0-3.0-0.4","","fixation","","",""
"1874","a_b montage/ab_067.jpg","76","image-keyboard-response","12","47641","0.0-3.0-1.4","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","48142","0.0-3.0-0.5","","fixation","","",""
"1514","b_a montage/ba_174.jpg","76","image-keyboard-response","14","49657","0.0-3.0-1.5","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","50158","0.0-3.0-0.6","","fixation","","",""
"1269","a_b montage/ab_103.jpg","76","image-keyboard-response","16","51429","0.0-3.0-1.6","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","51929","0.0-3.0-0.7","","fixation","","",""
"2783","a_b montage/ab_129.jpg","76","image-keyboard-response","18","54713","0.0-3.0-1.7","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","55214","0.0-3.0-0.8","","fixation","","",""
"1515","a_b montage/ab_130.jpg","76","image-keyboard-response","20","56731","0.0-3.0-1.8","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","57232","0.0-3.0-0.9","","fixation","","",""
"2465","a_b montage/ab_181.jpg","78","image-keyboard-response","22","59698","0.0-3.0-1.9","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","60199","0.0-3.0-0.10","","fixation","","",""
"1487","a_b montage/ab_179.jpg","78","image-keyboard-response","24","61688","0.0-3.0-1.10","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","62188","0.0-3.0-0.11","","fixation","","",""
"2245","a_b new/ab_016.jpg","78","image-keyboard-response","26","64434","0.0-3.0-1.11","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","64935","0.0-3.0-0.12","","fixation","","",""
"2869","a_b montage/ab_153.jpg","76","image-keyboard-response","28","67810","0.0-3.0-1.12","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","68310","0.0-3.0-0.13","","fixation","","",""
"2553","b_a montage/ba_009.jpg","76","image-keyboard-response","30","70865","0.0-3.0-1.13","","","Set_1_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","71367","0.0-3.0-0.14","","fixation","","",""
"2016","a_b montage/ab_141.jpg","76","image-keyboard-response","32","73385","0.0-3.0-1.14","","","Update","b","false"
