"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"6289","Press any key to begin.","82","html-keyboard-response","0","6292","0.0-0.0","","","","",""
"11384","","","survey-text","1","17678","0.0-1.0","{""Q0"":""128689"",""Q1"":""""}","","","",""
"18248","<p>For this phase you will see two similar images side by side on the screen I want you to tell us which of the items you have seen before in any of the previous sets of images. </p><p>If you have only seen the image on the left you will press the 'L' key on your keyboard.</p>If you have only seen the image on the right you will press the 'R' key on your keyboard.</p>If you have previously seen both of the images you will press the 'B' key on your keyboard.</p>If you have not seen either image you will press the 'N' key on your keyboard.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","76","html-keyboard-response","2","35927","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","38431","0.0-3.0-0.0","","fixation","","",""
"3079","b_a montage/ba_038.jpg","76","image-keyboard-response","4","41512","0.0-3.0-1.0","","","Repeat","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","42015","0.0-3.0-0.1","","fixation","","",""
"2655","a_b new/ab_008.jpg","78","image-keyboard-response","6","44672","0.0-3.0-1.1","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","45174","0.0-3.0-0.2","","fixation","","",""
"3482","a_b montage/ab_109.jpg","76","image-keyboard-response","8","48657","0.0-3.0-1.2","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","49159","0.0-3.0-0.3","","fixation","","",""
"3263","a_b montage/ab_088.jpg","82","image-keyboard-response","10","52424","0.0-3.0-1.3","","","Repeat","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","52926","0.0-3.0-0.4","","fixation","","",""
"2817","a_b montage/ab_067.jpg","76","image-keyboard-response","12","55744","0.0-3.0-1.4","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","56246","0.0-3.0-0.5","","fixation","","",""
"2465","b_a montage/ba_174.jpg","82","image-keyboard-response","14","58712","0.0-3.0-1.5","","","Set_2_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","59214","0.0-3.0-0.6","","fixation","","",""
"2912","a_b montage/ab_103.jpg","82","image-keyboard-response","16","62128","0.0-3.0-1.6","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","62629","0.0-3.0-0.7","","fixation","","",""
"3449","a_b montage/ab_129.jpg","66","image-keyboard-response","18","66079","0.0-3.0-1.7","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","66581","0.0-3.0-0.8","","fixation","","",""
"2633","a_b montage/ab_130.jpg","82","image-keyboard-response","20","69215","0.0-3.0-1.8","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","69717","0.0-3.0-0.9","","fixation","","",""
"2209","a_b montage/ab_181.jpg","76","image-keyboard-response","22","71927","0.0-3.0-1.9","","","Set_2_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","72429","0.0-3.0-0.10","","fixation","","",""
"2777","a_b montage/ab_179.jpg","66","image-keyboard-response","24","75207","0.0-3.0-1.10","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","75710","0.0-3.0-0.11","","fixation","","",""
"4063","a_b new/ab_016.jpg","82","image-keyboard-response","26","79775","0.0-3.0-1.11","","","Neither","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","80277","0.0-3.0-0.12","","fixation","","",""
"3123","a_b montage/ab_153.jpg","76","image-keyboard-response","28","83401","0.0-3.0-1.12","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","83903","0.0-3.0-0.13","","fixation","","",""
"3696","b_a montage/ba_009.jpg","78","image-keyboard-response","30","87601","0.0-3.0-1.13","","","Set_1_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","88103","0.0-3.0-0.14","","fixation","","",""
"2809","a_b montage/ab_141.jpg","76","image-keyboard-response","32","90914","0.0-3.0-1.14","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","91416","0.0-3.0-0.15","","fixation","","",""
"2503","a_b montage/ab_079.jpg","76","image-keyboard-response","34","93921","0.0-3.0-1.15","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","94421","0.0-3.0-0.16","","fixation","","",""
"3418","b_a montage/ba_176.jpg","82","image-keyboard-response","36","97841","0.0-3.0-1.16","","","Set_2_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","98343","0.0-3.0-0.17","","fixation","","",""
"3483","a_b montage/ab_017.jpg","76","image-keyboard-response","38","101829","0.0-3.0-1.17","","","Set_1_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","102331","0.0-3.0-0.18","","fixation","","",""
"4040","a_b montage/ab_069.jpg","76","image-keyboard-response","40","106372","0.0-3.0-1.18","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","106873","0.0-3.0-0.19","","fixation","","",""
"2873","a_b montage/ab_100.jpg","76","image-keyboard-response","42","109749","0.0-3.0-1.19","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","110250","0.0-3.0-0.20","","fixation","","",""
"2896","a_b new/ab_001.jpg","76","image-keyboard-response","44","113148","0.0-3.0-1.20","","","Neither","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","113650","0.0-3.0-0.21","","fixation","","",""
"2840","b_a montage/ba_013.jpg","78","image-keyboard-response","46","116492","0.0-3.0-1.21","","","Set_1_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","116994","0.0-3.0-0.22","","fixation","","",""
"2930","a_b montage/ab_066.jpg","82","image-keyboard-response","48","119926","0.0-3.0-1.22","","","Repeat","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","120428","0.0-3.0-0.23","","fixation","","",""
"1744","b_a montage/ba_041.jpg","82","image-keyboard-response","50","122174","0.0-3.0-1.23","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","122676","0.0-3.0-0.24","","fixation","","",""
"2976","b_a montage/ba_043.jpg","76","image-keyboard-response","52","125653","0.0-3.0-1.24","","","Repeat","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","126160","0.0-3.0-0.25","","fixation","","",""
"2699","a_b montage/ab_080.jpg","76","image-keyboard-response","54","128861","0.0-3.0-1.25","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","129362","0.0-3.0-0.26","","fixation","","",""
"1921","a_b montage/ab_131.jpg","76","image-keyboard-response","56","131285","0.0-3.0-1.26","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","131786","0.0-3.0-0.27","","fixation","","",""
"2657","a_b montage/ab_147.jpg","66","image-keyboard-response","58","134445","0.0-3.0-1.27","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","134947","0.0-3.0-0.28","","fixation","","",""
"2650","b_a montage/ba_047.jpg","82","image-keyboard-response","60","137601","0.0-3.0-1.28","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","138102","0.0-3.0-0.29","","fixation","","",""
"3044","b_a montage/ba_168.jpg","82","image-keyboard-response","62","141149","0.0-3.0-1.29","","","Set_2_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","141650","0.0-3.0-0.30","","fixation","","",""
"3866","a_b montage/ab_104.jpg","76","image-keyboard-response","64","145519","0.0-3.0-1.30","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","146021","0.0-3.0-0.31","","fixation","","",""
