"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"3826","Press any key to begin.","32","html-keyboard-response","0","3829","0.0-0.0","","","","",""
"20921","","","survey-text","1","24753","0.0-1.0","{""Q0"":""Set2128690"",""Q1"":""""}","","","",""
"25116","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice.</p><p>The first time you see the image, press the N key to indicat that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><p>Some of the images will be repeats from the first session of this task you did yesterday. I want you to treat those images as 'OLD' if you remember seeing them before. Some of the images will be very similar but not identical to an image that you have seen in the previous set. I want you to treat those images as 'NEW' the first time you see them and 'OLD' the second time.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","70","html-keyboard-response","2","49870","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","52373","0.0-3.0-0.0","","fixation","","",""
"2046","Set1/037a.jpg","79","image-keyboard-response","4","54422","0.0-3.0-1.0","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","54924","0.0-3.0-0.1","","fixation","","",""
"1504","Set1/095a.jpg","79","image-keyboard-response","6","56429","0.0-3.0-1.1","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","56931","0.0-3.0-0.2","","fixation","","",""
"1545","Set1/080a.jpg","79","image-keyboard-response","8","58477","0.0-3.0-1.2","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","58979","0.0-3.0-0.3","","fixation","","",""
"961","Set1/142b.jpg","79","image-keyboard-response","10","59941","0.0-3.0-1.3","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","60442","0.0-3.0-0.4","","fixation","","",""
"1697","Set1/179a.jpg","78","image-keyboard-response","12","62141","0.0-3.0-1.4","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","62642","0.0-3.0-0.5","","fixation","","",""
"1610","Set1/039a.jpg","79","image-keyboard-response","14","64253","0.0-3.0-1.5","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","64755","0.0-3.0-0.6","","fixation","","",""
"2577","Set1/172a.jpg","79","image-keyboard-response","16","67333","0.0-3.0-1.6","","","Set_2_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","67835","0.0-3.0-0.7","","fixation","","",""
"2208","Set1/075a.jpg","78","image-keyboard-response","18","70045","0.0-3.0-1.7","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","70547","0.0-3.0-0.8","","fixation","","",""
"1384","Set1/090a.jpg","78","image-keyboard-response","20","71932","0.0-3.0-1.8","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","72434","0.0-3.0-0.9","","fixation","","",""
"1672","Set1/148b.jpg","78","image-keyboard-response","22","74108","0.0-3.0-1.9","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","74610","0.0-3.0-0.10","","fixation","","",""
"1041","Set1/172a.jpg","78","image-keyboard-response","24","75653","0.0-3.0-1.10","","","Set_2_Only","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","76154","0.0-3.0-0.11","","fixation","","",""
"1457","Set1/035a.jpg","78","image-keyboard-response","26","77612","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","78114","0.0-3.0-0.12","","fixation","","",""
"1497","Set1/170a.jpg","78","image-keyboard-response","28","79612","0.0-3.0-1.12","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","80114","0.0-3.0-0.13","","fixation","","",""
"1762","Set1/179a.jpg","79","image-keyboard-response","30","81876","0.0-3.0-1.13","","","Set_2_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","82378","0.0-3.0-0.14","","fixation","","",""
"1153","Set1/153b.jpg","78","image-keyboard-response","32","83532","0.0-3.0-1.14","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","84034","0.0-3.0-0.15","","fixation","","",""
"1617","Set1/083a.jpg","79","image-keyboard-response","34","85652","0.0-3.0-1.15","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","86154","0.0-3.0-0.16","","fixation","","",""
"1721","Set1/126b.jpg","78","image-keyboard-response","36","87876","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","88377","0.0-3.0-0.17","","fixation","","",""
