"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"2539","Press any key to begin.","65","html-keyboard-response","0","2543","0.0-0.0","","","","",""
"8058","","","survey-text","1","10603","0.0-1.0","{""Q0"":""Set1201200\"""",""Q1"":""""}","","","",""
"11445","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","66","html-keyboard-response","2","22051","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","24554","0.0-3.0-0.0","","fixation","","",""
"1812","Set1/063a.jpg","78","image-keyboard-response","4","26369","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","26870","0.0-3.0-0.1","","fixation","","",""
"null","Set1/064a.jpg","null","image-keyboard-response","6","36872","0.0-3.0-1.1","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","37374","0.0-3.0-0.2","","fixation","","",""
"null","Set1/047a.jpg","null","image-keyboard-response","8","47376","0.0-3.0-1.2","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","47878","0.0-3.0-0.3","","fixation","","",""
"null","Set1/025a.jpg","null","image-keyboard-response","10","57881","0.0-3.0-1.3","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","58383","0.0-3.0-0.4","","fixation","","",""
"null","Set1/146a.jpg","null","image-keyboard-response","12","68385","0.0-3.0-1.4","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","68886","0.0-3.0-0.5","","fixation","","",""
"null","Set1/020a.jpg","null","image-keyboard-response","14","78888","0.0-3.0-1.5","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","79390","0.0-3.0-0.6","","fixation","","",""
"null","Set1/120a.jpg","null","image-keyboard-response","16","89393","0.0-3.0-1.6","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","89894","0.0-3.0-0.7","","fixation","","",""
"null","Set1/148a.jpg","null","image-keyboard-response","18","99897","0.0-3.0-1.7","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","100398","0.0-3.0-0.8","","fixation","","",""
"null","Set1/028a.jpg","null","image-keyboard-response","20","110400","0.0-3.0-1.8","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","110902","0.0-3.0-0.9","","fixation","","",""
"null","Set1/071a.jpg","null","image-keyboard-response","22","120904","0.0-3.0-1.9","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","121406","0.0-3.0-0.10","","fixation","","",""
"null","Set1/030a.jpg","null","image-keyboard-response","24","131409","0.0-3.0-1.10","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","131912","0.0-3.0-0.11","","fixation","","",""
"null","Set1/037a.jpg","null","image-keyboard-response","26","141916","0.0-3.0-1.11","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","142417","0.0-3.0-0.12","","fixation","","",""
"2783","Set1/120a.jpg","79","image-keyboard-response","28","145201","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","145703","0.0-3.0-0.13","","fixation","","",""
"2751","Set1/005a.jpg","79","image-keyboard-response","30","148455","0.0-3.0-1.13","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","148956","0.0-3.0-0.14","","fixation","","",""
"1862","Set1/079a.jpg","78","image-keyboard-response","32","150819","0.0-3.0-1.14","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","151320","0.0-3.0-0.15","","fixation","","",""
"1594","Set1/136a.jpg","78","image-keyboard-response","34","152915","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","153417","0.0-3.0-0.16","","fixation","","",""
"784","Set1/133a.jpg","78","image-keyboard-response","36","154202","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","154704","0.0-3.0-0.17","","fixation","","",""
"852","Set1/128a.jpg","78","image-keyboard-response","38","155557","0.0-3.0-1.17","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","156059","0.0-3.0-0.18","","fixation","","",""
"809","Set1/054a.jpg","78","image-keyboard-response","40","156869","0.0-3.0-1.18","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","157371","0.0-3.0-0.19","","fixation","","",""
"705","Set1/108a.jpg","78","image-keyboard-response","42","158078","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","158579","0.0-3.0-0.20","","fixation","","",""
"816","Set1/050a.jpg","78","image-keyboard-response","44","159396","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","159898","0.0-3.0-0.21","","fixation","","",""
"1526","Set1/140a.jpg","78","image-keyboard-response","46","161425","0.0-3.0-1.21","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","161928","0.0-3.0-0.22","","fixation","","",""
"724","Set1/051a.jpg","78","image-keyboard-response","48","162653","0.0-3.0-1.22","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","163155","0.0-3.0-0.23","","fixation","","",""
"798","Set1/063a.jpg","79","image-keyboard-response","50","163955","0.0-3.0-1.23","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","164456","0.0-3.0-0.24","","fixation","","",""
"992","Set1/006a.jpg","78","image-keyboard-response","52","165449","0.0-3.0-1.24","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","165951","0.0-3.0-0.25","","fixation","","",""
"1349","Set1/158a.jpg","78","image-keyboard-response","54","167302","0.0-3.0-1.25","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","167803","0.0-3.0-0.26","","fixation","","",""
"1052","Set1/020a.jpg","79","image-keyboard-response","56","168857","0.0-3.0-1.26","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","169358","0.0-3.0-0.27","","fixation","","",""
"848","Set1/082a.jpg","78","image-keyboard-response","58","170207","0.0-3.0-1.27","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","170709","0.0-3.0-0.28","","fixation","","",""
"1186","Set1/107a.jpg","78","image-keyboard-response","60","171896","0.0-3.0-1.28","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","172398","0.0-3.0-0.29","","fixation","","",""
"1165","Set1/121a.jpg","78","image-keyboard-response","62","173564","0.0-3.0-1.29","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","174066","0.0-3.0-0.30","","fixation","","",""
"1461","Set1/085a.jpg","78","image-keyboard-response","64","175528","0.0-3.0-1.30","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","176030","0.0-3.0-0.31","","fixation","","",""
"936","Set1/136a.jpg","78","image-keyboard-response","66","176967","0.0-3.0-1.31","","","Update","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","177468","0.0-3.0-0.32","","fixation","","",""
"946","Set1/049a.jpg","78","image-keyboard-response","68","178415","0.0-3.0-1.32","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","178917","0.0-3.0-0.33","","fixation","","",""
"1074","Set1/133a.jpg","79","image-keyboard-response","70","179992","0.0-3.0-1.33","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","180494","0.0-3.0-0.34","","fixation","","",""
"1616","Set1/093a.jpg","78","image-keyboard-response","72","182111","0.0-3.0-1.34","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","182613","0.0-3.0-0.35","","fixation","","",""
"961","Set1/064a.jpg","79","image-keyboard-response","74","183575","0.0-3.0-1.35","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","184077","0.0-3.0-0.36","","fixation","","",""
"1262","Set1/005a.jpg","78","image-keyboard-response","76","185341","0.0-3.0-1.36","","","Set_1_Only","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","185843","0.0-3.0-0.37","","fixation","","",""
"1066","Set1/128a.jpg","79","image-keyboard-response","78","186910","0.0-3.0-1.37","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","187412","0.0-3.0-0.38","","fixation","","",""
"827","Set1/044a.jpg","78","image-keyboard-response","80","188240","0.0-3.0-1.38","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","188741","0.0-3.0-0.39","","fixation","","",""
"1134","Set1/037a.jpg","79","image-keyboard-response","82","189876","0.0-3.0-1.39","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","190378","0.0-3.0-0.40","","fixation","","",""
"1084","Set1/088a.jpg","78","image-keyboard-response","84","191464","0.0-3.0-1.40","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","191966","0.0-3.0-0.41","","fixation","","",""
"1721","Set1/106a.jpg","79","image-keyboard-response","86","193688","0.0-3.0-1.41","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","194189","0.0-3.0-0.42","","fixation","","",""
"1555","Set1/031a.jpg","78","image-keyboard-response","88","195746","0.0-3.0-1.42","","","Set_1_Only","n","true"
