"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"4013","Press any key to begin.","76","html-keyboard-response","0","4040","0.0-0.0","","","","",""
"11490","","","survey-text","1","15540","0.0-1.0","{""Q0"":""Set1201225"",""Q1"":""Set1201225""}","","","",""
"7513","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","78","html-keyboard-response","2","23061","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","25593","0.0-3.0-0.0","","fixation","","",""
"727","Set1/063a.jpg","78","image-keyboard-response","4","26360","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","26884","0.0-3.0-0.1","","fixation","","",""
"1136","Set1/064a.jpg","78","image-keyboard-response","6","28028","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","28549","0.0-3.0-0.2","","fixation","","",""
"2184","Set1/047a.jpg","78","image-keyboard-response","8","30741","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","31256","0.0-3.0-0.3","","fixation","","",""
"1439","Set1/025a.jpg","78","image-keyboard-response","10","32698","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","33208","0.0-3.0-0.4","","fixation","","",""
"1176","Set1/146a.jpg","78","image-keyboard-response","12","34391","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","34911","0.0-3.0-0.5","","fixation","","",""
"927","Set1/020a.jpg","78","image-keyboard-response","14","35846","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","36368","0.0-3.0-0.6","","fixation","","",""
"1435","Set1/120a.jpg","78","image-keyboard-response","16","37809","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","38332","0.0-3.0-0.7","","fixation","","",""
"978","Set1/148a.jpg","78","image-keyboard-response","18","39318","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","39837","0.0-3.0-0.8","","fixation","","",""
"1142","Set1/028a.jpg","78","image-keyboard-response","20","40984","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","41520","0.0-3.0-0.9","","fixation","","",""
"1012","Set1/071a.jpg","78","image-keyboard-response","22","42540","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","43067","0.0-3.0-0.10","","fixation","","",""
"991","Set1/030a.jpg","78","image-keyboard-response","24","44063","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","44591","0.0-3.0-0.11","","fixation","","",""
"1480","Set1/037a.jpg","78","image-keyboard-response","26","46079","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","46599","0.0-3.0-0.12","","fixation","","",""
"7109","Set1/120a.jpg","79","image-keyboard-response","28","53713","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","54225","0.0-3.0-0.13","","fixation","","",""
"2227","Set1/005a.jpg","78","image-keyboard-response","30","56455","0.0-3.0-1.13","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","56986","0.0-3.0-0.14","","fixation","","",""
"1005","Set1/079a.jpg","78","image-keyboard-response","32","58004","0.0-3.0-1.14","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","58525","0.0-3.0-0.15","","fixation","","",""
"1056","Set1/136a.jpg","78","image-keyboard-response","34","59588","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","60106","0.0-3.0-0.16","","fixation","","",""
"952","Set1/133a.jpg","78","image-keyboard-response","36","61064","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","61586","0.0-3.0-0.17","","fixation","","",""
"984","Set1/128a.jpg","78","image-keyboard-response","38","62577","0.0-3.0-1.17","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","63100","0.0-3.0-0.18","","fixation","","",""
"1144","Set1/054a.jpg","78","image-keyboard-response","40","64247","0.0-3.0-1.18","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","64764","0.0-3.0-0.19","","fixation","","",""
"1123","Set1/108a.jpg","78","image-keyboard-response","42","65894","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","66412","0.0-3.0-0.20","","fixation","","",""
"994","Set1/050a.jpg","78","image-keyboard-response","44","67415","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","67939","0.0-3.0-0.21","","fixation","","",""
"1029","Set1/140a.jpg","78","image-keyboard-response","46","68985","0.0-3.0-1.21","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","69513","0.0-3.0-0.22","","fixation","","",""
"936","Set1/051a.jpg","78","image-keyboard-response","48","70456","0.0-3.0-1.22","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","70979","0.0-3.0-0.23","","fixation","","",""
"822","Set1/063a.jpg","79","image-keyboard-response","50","71812","0.0-3.0-1.23","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","72319","0.0-3.0-0.24","","fixation","","",""
"855","Set1/006a.jpg","78","image-keyboard-response","52","73183","0.0-3.0-1.24","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","73723","0.0-3.0-0.25","","fixation","","",""
"756","Set1/158a.jpg","78","image-keyboard-response","54","74481","0.0-3.0-1.25","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","75015","0.0-3.0-0.26","","fixation","","",""
"982","Set1/020a.jpg","79","image-keyboard-response","56","76003","0.0-3.0-1.26","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","76524","0.0-3.0-0.27","","fixation","","",""
"895","Set1/082a.jpg","78","image-keyboard-response","58","77426","0.0-3.0-1.27","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","77943","0.0-3.0-0.28","","fixation","","",""
"1043","Set1/107a.jpg","78","image-keyboard-response","60","78993","0.0-3.0-1.28","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","79510","0.0-3.0-0.29","","fixation","","",""
"808","Set1/121a.jpg","78","image-keyboard-response","62","80324","0.0-3.0-1.29","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","80843","0.0-3.0-0.30","","fixation","","",""
"1175","Set1/085a.jpg","78","image-keyboard-response","64","82026","0.0-3.0-1.30","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","82551","0.0-3.0-0.31","","fixation","","",""
"993","Set1/136a.jpg","79","image-keyboard-response","66","83549","0.0-3.0-1.31","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","84064","0.0-3.0-0.32","","fixation","","",""
"905","Set1/049a.jpg","78","image-keyboard-response","68","84975","0.0-3.0-1.32","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","85497","0.0-3.0-0.33","","fixation","","",""
"982","Set1/133a.jpg","79","image-keyboard-response","70","86482","0.0-3.0-1.33","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","87002","0.0-3.0-0.34","","fixation","","",""
"866","Set1/093a.jpg","78","image-keyboard-response","72","87875","0.0-3.0-1.34","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","88412","0.0-3.0-0.35","","fixation","","",""
"895","Set1/064a.jpg","79","image-keyboard-response","74","89314","0.0-3.0-1.35","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","89838","0.0-3.0-0.36","","fixation","","",""
"1066","Set1/005a.jpg","79","image-keyboard-response","76","90907","0.0-3.0-1.36","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","91420","0.0-3.0-0.37","","fixation","","",""
"982","Set1/128a.jpg","79","image-keyboard-response","78","92410","0.0-3.0-1.37","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","92932","0.0-3.0-0.38","","fixation","","",""
"1231","Set1/044a.jpg","78","image-keyboard-response","80","94170","0.0-3.0-1.38","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","94688","0.0-3.0-0.39","","fixation","","",""
"1054","Set1/037a.jpg","79","image-keyboard-response","82","95748","0.0-3.0-1.39","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","96273","0.0-3.0-0.40","","fixation","","",""
"1207","Set1/088a.jpg","78","image-keyboard-response","84","97487","0.0-3.0-1.40","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","97994","0.0-3.0-0.41","","fixation","","",""
"1084","Set1/106a.jpg","78","image-keyboard-response","86","99083","0.0-3.0-1.41","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","99615","0.0-3.0-0.42","","fixation","","",""
"1140","Set1/031a.jpg","78","image-keyboard-response","88","100762","0.0-3.0-1.42","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","89","101282","0.0-3.0-0.43","","fixation","","",""
"1099","Set1/160a.jpg","78","image-keyboard-response","90","102388","0.0-3.0-1.43","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","102911","0.0-3.0-0.44","","fixation","","",""
"809","Set1/025a.jpg","79","image-keyboard-response","92","103726","0.0-3.0-1.44","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","93","104260","0.0-3.0-0.45","","fixation","","",""
"1127","Set1/088a.jpg","79","image-keyboard-response","94","105395","0.0-3.0-1.45","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","95","105920","0.0-3.0-0.46","","fixation","","",""
"1077","Set1/093a.jpg","79","image-keyboard-response","96","107003","0.0-3.0-1.46","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","107531","0.0-3.0-0.47","","fixation","","",""
"1034","Set1/054a.jpg","79","image-keyboard-response","98","108573","0.0-3.0-1.47","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","99","109082","0.0-3.0-0.48","","fixation","","",""
"1166","Set1/105a.jpg","78","image-keyboard-response","100","110254","0.0-3.0-1.48","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","101","110775","0.0-3.0-0.49","","fixation","","",""
"1189","Set1/045a.jpg","78","image-keyboard-response","102","111973","0.0-3.0-1.49","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","103","112493","0.0-3.0-0.50","","fixation","","",""
"1481","Set1/006a.jpg","79","image-keyboard-response","104","113979","0.0-3.0-1.50","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","105","114494","0.0-3.0-0.51","","fixation","","",""
