"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"3655","Press any key to begin.","13","html-keyboard-response","0","3658","0.0-0.0","","","","",""
"12476","","","survey-text","1","16138","0.0-1.0","{""Q0"":""121414"",""Q1"":""""}","","","",""
"16828","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","32","html-keyboard-response","2","32968","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","35508","0.0-3.0-0.0","","fixation","","",""
"982","Set1/063a.jpg","78","image-keyboard-response","4","36497","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","37021","0.0-3.0-0.1","","fixation","","",""
"1900","Set1/064a.jpg","78","image-keyboard-response","6","38930","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","39432","0.0-3.0-0.2","","fixation","","",""
"1153","Set1/047a.jpg","78","image-keyboard-response","8","40587","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","41094","0.0-3.0-0.3","","fixation","","",""
"865","Set1/025a.jpg","78","image-keyboard-response","10","41963","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","42492","0.0-3.0-0.4","","fixation","","",""
"1119","Set1/146a.jpg","78","image-keyboard-response","12","43613","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","44136","0.0-3.0-0.5","","fixation","","",""
"853","Set1/020a.jpg","78","image-keyboard-response","14","44993","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","45518","0.0-3.0-0.6","","fixation","","",""
"942","Set1/120a.jpg","78","image-keyboard-response","16","46464","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","46975","0.0-3.0-0.7","","fixation","","",""
"868","Set1/148a.jpg","78","image-keyboard-response","18","47849","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","48362","0.0-3.0-0.8","","fixation","","",""
"822","Set1/028a.jpg","78","image-keyboard-response","20","49191","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","49704","0.0-3.0-0.9","","fixation","","",""
