"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"2256","Press any key to begin.","78","html-keyboard-response","0","2266","0.0-0.0","","","","",""
"2234","","","survey-text","1","4503","0.0-1.0","{""Q0"":""Set1_128714"",""Q1"":""Set1_128714""}","","","",""
"1352","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","78","html-keyboard-response","2","5856","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","8366","0.0-3.0-0.0","","fixation","","",""
"805","Set1/063a.jpg","78","image-keyboard-response","4","9173","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","9676","0.0-3.0-0.1","","fixation","","",""
"845","Set1/064a.jpg","78","image-keyboard-response","6","10523","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","11027","0.0-3.0-0.2","","fixation","","",""
"830","Set1/047a.jpg","78","image-keyboard-response","8","11858","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","12361","0.0-3.0-0.3","","fixation","","",""
"744","Set1/025a.jpg","78","image-keyboard-response","10","13106","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","13610","0.0-3.0-0.4","","fixation","","",""
"888","Set1/146a.jpg","78","image-keyboard-response","12","14498","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","15002","0.0-3.0-0.5","","fixation","","",""
"816","Set1/020a.jpg","78","image-keyboard-response","14","15818","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","16319","0.0-3.0-0.6","","fixation","","",""
"796","Set1/120a.jpg","78","image-keyboard-response","16","17115","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","17617","0.0-3.0-0.7","","fixation","","",""
"817","Set1/148a.jpg","78","image-keyboard-response","18","18434","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","18937","0.0-3.0-0.8","","fixation","","",""
"753","Set1/028a.jpg","78","image-keyboard-response","20","19691","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","20196","0.0-3.0-0.9","","fixation","","",""
"742","Set1/071a.jpg","78","image-keyboard-response","22","20939","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","21443","0.0-3.0-0.10","","fixation","","",""
"654","Set1/030a.jpg","78","image-keyboard-response","24","22098","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","22603","0.0-3.0-0.11","","fixation","","",""
"1286","Set1/037a.jpg","78","image-keyboard-response","26","23890","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","24392","0.0-3.0-0.12","","fixation","","",""
"2825","Set1/120a.jpg","79","image-keyboard-response","28","27217","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","27719","0.0-3.0-0.13","","fixation","","",""
"826","Set1/005a.jpg","78","image-keyboard-response","30","28546","0.0-3.0-1.13","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","29050","0.0-3.0-0.14","","fixation","","",""
