"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"3435","Press any key to begin.","74","html-keyboard-response","0","3443","0.0-0.0","","","","",""
"9000","","","survey-text","1","12453","0.0-1.0","{""Q0"":""\""Set2128617\"""",""Q1"":""""}","","","",""
"11656","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice.</p><p>The first time you see the image, press the N key to indicat that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><p>Some of the images will be repeats from the first session of this task you did yesterday. I want you to treat those images as 'OLD' if you remember seeing them before. Some of the images will be very similar but not identical to an image that you have seen in the previous set. I want you to treat those images as 'NEW' the first time you see them and 'OLD' the second time.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","78","html-keyboard-response","2","24129","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","26650","0.0-3.0-0.0","","fixation","","",""
"3354","Set1/037a.jpg","78","image-keyboard-response","4","30013","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","30527","0.0-3.0-0.1","","fixation","","",""
"1914","Set1/095a.jpg","79","image-keyboard-response","6","32452","0.0-3.0-1.1","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","32981","0.0-3.0-0.2","","fixation","","",""
"1476","Set1/080a.jpg","79","image-keyboard-response","8","34465","0.0-3.0-1.2","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","34981","0.0-3.0-0.3","","fixation","","",""
"null","Set1/142b.jpg","null","image-keyboard-response","10","44999","0.0-3.0-1.3","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","45514","0.0-3.0-0.4","","fixation","","",""
"1953","Set1/179a.jpg","78","image-keyboard-response","12","47477","0.0-3.0-1.4","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","47984","0.0-3.0-0.5","","fixation","","",""
"1424","Set1/039a.jpg","79","image-keyboard-response","14","49416","0.0-3.0-1.5","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","49921","0.0-3.0-0.6","","fixation","","",""
"1668","Set1/172a.jpg","79","image-keyboard-response","16","51597","0.0-3.0-1.6","","","Set_2_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","52125","0.0-3.0-0.7","","fixation","","",""
"1535","Set1/075a.jpg","79","image-keyboard-response","18","53667","0.0-3.0-1.7","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","54173","0.0-3.0-0.8","","fixation","","",""
"1761","Set1/090a.jpg","79","image-keyboard-response","20","55941","0.0-3.0-1.8","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","56456","0.0-3.0-0.9","","fixation","","",""
"1283","Set1/148b.jpg","79","image-keyboard-response","22","57745","0.0-3.0-1.9","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","58269","0.0-3.0-0.10","","fixation","","",""
"1139","Set1/172a.jpg","79","image-keyboard-response","24","59412","0.0-3.0-1.10","","","Set_2_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","59938","0.0-3.0-0.11","","fixation","","",""
"1269","Set1/035a.jpg","79","image-keyboard-response","26","61213","0.0-3.0-1.11","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","61729","0.0-3.0-0.12","","fixation","","",""
"1865","Set1/170a.jpg","78","image-keyboard-response","28","63598","0.0-3.0-1.12","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","64105","0.0-3.0-0.13","","fixation","","",""
"2011","Set1/179a.jpg","79","image-keyboard-response","30","66119","0.0-3.0-1.13","","","Set_2_Only","o","true"
