"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"10449","Press any key to begin.","78","html-keyboard-response","0","10528","0.0-0.0","","","","",""
"7928","","","survey-text","1","18461","0.0-1.0","{""Q0"":"" Set2_128715"",""Q1"":"" Set2_128715""}","","","",""
"5690","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice.</p><p>The first time you see the image, press the N key to indicat that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><p>Some of the images will be repeats from the first session of this task you did yesterday. I want you to treat those images as 'OLD' if you remember seeing them before. Some of the images will be very similar but not identical to an image that you have seen in the previous set. I want you to treat those images as 'NEW' the first time you see them and 'OLD' the second time.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","79","html-keyboard-response","2","24152","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","26658","0.0-3.0-0.0","","fixation","","",""
"2851","Set1/037a.jpg","78","image-keyboard-response","4","29513","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","30016","0.0-3.0-0.1","","fixation","","",""
"2841","Set1/095a.jpg","78","image-keyboard-response","6","32857","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","33359","0.0-3.0-0.2","","fixation","","",""
"2079","Set1/080a.jpg","78","image-keyboard-response","8","35440","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","35942","0.0-3.0-0.3","","fixation","","",""
"938","Set1/142b.jpg","78","image-keyboard-response","10","36881","0.0-3.0-1.3","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","37383","0.0-3.0-0.4","","fixation","","",""
"2860","Set1/179a.jpg","78","image-keyboard-response","12","40244","0.0-3.0-1.4","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","40746","0.0-3.0-0.5","","fixation","","",""
"1640","Set1/039a.jpg","79","image-keyboard-response","14","42388","0.0-3.0-1.5","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","42891","0.0-3.0-0.6","","fixation","","",""
"1304","Set1/172a.jpg","78","image-keyboard-response","16","44197","0.0-3.0-1.6","","","Set_2_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","44699","0.0-3.0-0.7","","fixation","","",""
"1199","Set1/075a.jpg","78","image-keyboard-response","18","45900","0.0-3.0-1.7","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","46401","0.0-3.0-0.8","","fixation","","",""
"1610","Set1/090a.jpg","78","image-keyboard-response","20","48012","0.0-3.0-1.8","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","48515","0.0-3.0-0.9","","fixation","","",""
"1328","Set1/148b.jpg","78","image-keyboard-response","22","49845","0.0-3.0-1.9","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","50348","0.0-3.0-0.10","","fixation","","",""
"859","Set1/172a.jpg","79","image-keyboard-response","24","51209","0.0-3.0-1.10","","","Set_2_Only","o","true"
